size_usd,impact,api_price_impact
990.0,0.0,-0.00015323241356576665
1366473.103448276,0.00011012599570189811,-0.0002633415343954329
2731956.206896552,0.0001437228646186525,-0.00029693325518322696
4097439.310344828,0.0001550939547573259,-0.00030830260290215733
5462922.413793104,0.00016092526665179458,-0.00031413302125063056
6828405.517241379,0.0006196778302203814,-0.0007728152890565883
8193888.620689656,0.0015401671417417135,-0.0016931635517790687
9559371.72413793,0.002718835207620915,-0.0028716510075058126
10924854.827586208,0.004251832102395275,-0.004404412997465856
12290337.931034483,0.006898938788416072,-0.007051114060940312
